Adega Vinho,TX,Dry Rose (Blend) - RS 0 - .099,2022,Texas Hill Country,,Estate Rose,$50.00,Bronze
Adega Vinho,TX,Red Blend: Tempranillo leading blend,2020,Texas Hill Country,,Estate Pordosol,$50.00,Bronze
Adega Vinho,TX,Chardonnay - $46.00 & Over,2022,Texas Hill Country,,Chardonnay,$60.00,Double Gold
Adega Vinho,TX,Mourvedre,2020,Texas Hill Country,Estate,Mourvedre,$50.00,Gold
Adega Vinho,TX,Red Blend: Merlot leading blend - $40.00 & Over,2020,Texas Hill Country,,Cuvee Carmesim,$65.00,Gold
Adega Vinho,TX,Touriga Nacional,2019,Texas Hill Country,,Touriga,$68.00,Gold
Adega Vinho,TX,Red Blend: Mourvedre leading blend,2020,Texas,,Cuvee Carinho,$50.00,Silver
Adega Vinho,TX,Tempranillo - $40.00 & Over,2020,Texas Hill Country,,Tempranillo,$50.00,Silver
Adega Vinho,TX,Tempranillo - $40.00 & Over,2019,Texas Hill Country,Parr,Tempranillo,$55.00,Silver
Adega Vinho,TX,Tempranillo - $40.00 & Over,2019,Texas High Plains,Newsom,Tempranillo,$60.00,Silver
Adega Vinho,TX,Touriga Nacional,2020,Texas Hill Country,,Touriga National,$60.00,Silver
Adega Vinho,TX,Viognier $30.00 & Over,2022,Texas High Plains,,Viognier,$48.00,Silver
Adega Vinho,TX,White Blends - $30.00 and Over,2022,Texas Hill Country,,Branca Estate Reserve,$56.00,Silver
Adelphos Cellars,TX,Cab Sauv - $40.00 - $44.99,2020,Texas High Plains,Reserve,Cabernet Sauvignon,$44.00,Silver
Adobe Road Winery,CA,Red Blend: Cab Sauv leading blend - $48.00 - $60.99,2021,Central Coast,,Redline Red Blend,$48.00,Bronze
Adobe Road Winery,CA,Cab Sauv - $80.00 - $99.99,2021,Knights Valley,Bavarian Lion,Cabernet Sauvignon,$85.00,Silver
Adobe Road Winery,CA,Zinfandel - $45.00 - $54.99,2021,Dry Creek Valley,Harris Estate,Zinfandel,$52.00,Silver
Adrice Wines,WA,Dolcetto,2021,Columbia Valley,,Dolcetto,$40.00,Bronze
Adrice Wines,WA,Zinfandel - $45.00 - $54.99,2021,Walla Walla County,,Zinfandel,$45.00,Gold
Adrice Wines,WA,Petite Sirah - $33.00 - $38.99,2021,Columbia Valley,Mon Frere,Petite Sirah,$38.00,Silver
Adrice Wines,WA,Red Blend: Cab Sauv leading blend - $61.00 and Over,2020,Columbia Valley,,Notorious,$62.00,Silver
Aimee June Winery,CA,Red Blend: Mourvedre leading blend,2021,Paso Robles Geneseo District,,Minerality,$22.00,Gold
Aimee June Winery,CA,Zinfandel - Up to - $22.99,2021,Adelaida District,,Zinfandel,$18.00,Gold
Aimee June Winery,CA,Cab Sauv - $20.00 - $23.99,2021,Templeton Gap District,,Cabernet Sauvignon,$22.00,Silver
Airlie,OR,Pinot Noir - $40.00 - $46.99,2018,Willamette Valley,Vintners Select,Pinot Noir,$40.00,Silver
Airlie,OR,Pinot Noir - $40.00 - $46.99,2020,Willamette Valley,Dunn Forest,Pinot Noir,$45.00,Silver
Airlie,OR,Riesling - Dry <.99 RS,2022,Willamette Valley,,Dry Riesling,$25.00,Silver
Akash,CA,Petite Sirah - $47.00 & Over,2020,Temecula Valley,,Petite Sirah,$69.00,Silver
Akiyoshi,CA,Chardonnay - Up to - $13.99,2021,Lodi,,Chardonnay,$11.90,Gold
Akiyoshi,CA,Chardonnay - $14.00 - $17.99,2021,Clarksburg,Sur Lie Aged,Chardonnay,$14.99,Silver
Akiyoshi,CA,Dry Rose (Blend) - RS 0 - .099,2022,California,,Rose of Pinot Noir,$12.99,Silver
Akiyoshi,CA,Packaging: Minimal,2022,California,,Rose of Pinot Noir,$12.99,Silver
Akiyoshi,CA,Pinot Noir - Up to - $17.99,2021,Clarksburg,,Pinot Noir,$14.99,Silver
